,,,,,,MAYO 2005,,,,,,, 
,,,,,,,,,,,,,
,,,,,,,,,,,,,
" DEMANDANTES DE EMPLEO POR SEXO, EDAD Y SECTORES ECONÓMICOS",,,,,,,,,,,,,
,,,,,,,,,,,,,
,TOTAL ,,,,CON DISPONIBILIDAD,,,DENOS,,,,,
COLECTIVOS,DEMANDANTES,,OCUPADOS,, LIMITADA,,,TOTAL,,OTROS NO OCUPADOS (*),,PARADOS REGISTRADOS,
,,,,,,,,,,,,,
TOTAL,2.938.991,,570.391,,114.398,,,2.254.202,,294.448,,1.959.754,
,,,,,,,,,,,,,
SEXO:,,,,,,,,,,,,,
    HOMBRES,1.123.873,,242.002,,59.483,,,822.388,,83.645,,738.743,
    MUJERES,1.815.118,,328.389,,54.915,,,1.431.814,,210.803,,1.221.011,
,,,,,,,,,,,,,
MENORES DE 25 AÑOS:,,,,,,,,,,,,,
    HOMBRES,167.838,,31.901,,6.137,,,129.800,,18.816,,110.984,
    MUJERES,203.159,,35.830,,6.614,,,160.715,,33.335,,127.380,
    TOTAL,370.997,,67.731,,12.751,,,290.515,,52.151,,238.364,
,,,,,,,,,,,,,
MAYORES DE 25 AÑOS:,,,,,,,,,,,,,
    HOMBRES,956.035,,210.101,,53.346,,,692.588,,64.829,,627.759,
    MUJERES,1.611.959,,292.559,,48.301,,,1.271.099,,177.468,,1.093.631,
    TOTAL,2.567.994,,502.660,,101.647,,,1.963.687,,242.297,,1.721.390,
,,,,,,,,,,,,,
SECTORES:,,,,,,,,,,,,,
    AGRICULTURA,309.267,,92.599,,6.800,,,209.868,,147.174,,62.694,
    INDUSTRIA,375.290,,70.907,,16.717,,,287.666,,9.396,,278.270,
    CONSTRUCCIÓN,283.816,,43.469,,12.629,,,227.718,,20.362,,207.356,
    SERVICIOS,1.671.528,,343.911,,65.259,,,1.262.358,,72.667,,1.189.691,
    SIN EMPLEO ANTERIOR ,299.090,,19.505,,12.993,,,266.592,,44.849,,221.743,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
 DEMANDANTES DE EMPLEO POR COMUNIDADES AUTÓNOMAS,,,,,,,,,,,,,
,,,,,,,,,,,,,
,TOTAL ,,,,CON DISPONIBILIDAD,,,DENOS,,,,,
COMUNIDADES AUTÓNOMAS,DEMANDANTES,,OCUPADOS,, LIMITADA,,,TOTAL,,OTROS NO OCUPADOS (*),,PARADOS REGISTRADOS,
,,,,,,,,,,,,,
ANDALUCÍA,854.202,,167.049,,26.246,,,660.907,,197.589,,463.318,
ARAGÓN,55.136,,15.555,,2.049,,,37.532,,3.119,,34.413,
ASTURIAS,69.543,,12.807,,3.653,,,53.083,,3.201,,49.882,
ILLES BALEARS,37.692,,9.171,,1.361,,,27.160,,816,,26.344,
CANARIAS,164.391,,21.682,,5.163,,,137.546,,5.218,,132.328,
CANTABRIA,28.540,,5.430,,1.119,,,21.991,,1.058,,20.933,
CASTILLA LA MANCHA,114.469,,19.275,,4.098,,,91.096,,3.747,,87.349,
CASTILLA LEÓN,145.571,,27.810,,5.236,,,112.525,,6.455,,106.070,
CATALUÑA,332.576,,66.034,,9.839,,,256.703,,5.946,,250.757,
COM. VALENCIANA,281.548,,64.069,,17.306,,,200.173,,10.314,,189.859,
EXTREMADURA,128.836,,20.963,,4.390,,,103.483,,27.667,,75.816,
GALICIA,205.820,,27.874,,16.037,,,161.909,,8.163,,153.746,
MADRID,288.254,,59.919,,8.575,,,219.760,,13.001,,206.759,
MURCIA,61.657,,16.081,,1.871,,,43.705,,1.746,,41.959,
NAVARRA,31.696,,9.961,,970,,,20.765,,984,,19.781,
PAÍS VASCO,106.254,,20.745,,5.363,,,80.146,,4.107,,76.039,
LA RIOJA,14.689,,3.925,,442,,,10.322,,532,,9.790,
CEUTA,9.109,,945,,153,,,8.011,,339,,7.672,
MELILLA,9.008,,1.096,,527,,,7.385,,446,,6.939,
,,,,,,,,,,,,,
TOTAL NACIONAL,2.938.991,,570.391,,114.398,,,2.254.202,,294.448,,1.959.754,
,,,,,,,,,,,,,
(*) Considerados parados por la EPA,,,,,,,,,,,,,
