,,,,,,MAYO 2005,,,,,,, 
,,,,,,,,,,,,,
,,,,,,,,,,,,,
" DEMANDANTES DE EMPLEO POR SEXO, EDAD Y SECTORES ECONÓMICOS",,,,,,,,,,,,,
,,,,,,,,,,,,,
,TOTAL ,,,,CON DISPONIBILIDAD,,,DENOS,,,,,
COLECTIVOS,DEMANDANTES,,OCUPADOS,, LIMITADA,,,TOTAL,,OTROS NO OCUPADOS (*),,PARADOS REGISTRADOS,
,,,,,,,,,,,,,
TOTAL,3.014.064,,560.346,,120.753,,,2.332.965,,319.679,,2.013.286,
,,,,,,,,,,,,,
SEXO:,,,,,,,,,,,,,
    HOMBRES,1.166.902,,232.832,,61.013,,,873.057,,88.797,,784.260,
    MUJERES,1.847.162,,327.514,,59.740,,,1.459.908,,230.882,,1.229.026,
,,,,,,,,,,,,,
MENORES DE 25 AÑOS:,,,,,,,,,,,,,
    HOMBRES,178.730,,31.350,,5.983,,,141.397,,18.370,,123.027,
    MUJERES,219.512,,36.624,,7.406,,,175.482,,35.281,,140.201,
    TOTAL,398.242,,67.974,,13.389,,,316.879,,53.651,,263.228,
,,,,,,,,,,,,,
MAYORES DE 25 AÑOS:,,,,,,,,,,,,,
    HOMBRES,988.172,,201.482,,55.030,,,731.660,,70.427,,661.233,
    MUJERES,1.627.650,,290.890,,52.334,,,1.284.426,,195.601,,1.088.825,
    TOTAL,2.615.822,,492.372,,107.364,,,2.016.086,,266.028,,1.750.058,
,,,,,,,,,,,,,
SECTORES:,,,,,,,,,,,,,
    AGRICULTURA,310.079,,86.873,,6.482,,,216.724,,155.980,,60.744,
    INDUSTRIA,391.458,,69.982,,18.748,,,302.728,,12.089,,290.639,
    CONSTRUCCIÓN,298.841,,46.092,,13.083,,,239.666,,21.021,,218.645,
    SERVICIOS,1.706.687,,347.344,,68.619,,,1.290.724,,82.861,,1.207.863,
    SIN EMPLEO ANTERIOR ,306.999,,10.055,,13.821,,,283.123,,47.728,,235.395,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
 DEMANDANTES DE EMPLEO POR COMUNIDADES AUTÓNOMAS,,,,,,,,,,,,,
,,,,,,,,,,,,,
,TOTAL ,,,,CON DISPONIBILIDAD,,,DENOS,,,,,
COMUNIDADES AUTÓNOMAS,DEMANDANTES,,OCUPADOS,, LIMITADA,,,TOTAL,,OTROS NO OCUPADOS (*),,PARADOS REGISTRADOS,
,,,,,,,,,,,,,
ANDALUCÍA,857.591,,163.069,,21.985,,,672.537,,208.882,,463.655,
ARAGÓN,58.686,,14.640,,2.056,,,41.990,,3.021,,38.969,
ASTURIAS,72.105,,12.424,,3.752,,,55.929,,2.983,,52.946,
ILLES BALEARS,39.669,,8.025,,1.370,,,30.274,,912,,29.362,
CANARIAS,158.031,,19.705,,4.366,,,133.960,,5.782,,128.178,
CANTABRIA,29.217,,5.075,,1.145,,,22.997,,1.189,,21.808,
CASTILLA LA MANCHA,116.797,,19.261,,4.199,,,93.337,,3.920,,89.417,
CASTILLA LEÓN,142.682,,25.846,,4.948,,,111.888,,6.997,,104.891,
CATALUÑA,351.680,,62.441,,13.906,,,275.333,,8.941,,266.392,
COM. VALENCIANA,290.659,,62.940,,23.798,,,203.921,,9.779,,194.142,
EXTREMADURA,134.488,,24.187,,4.228,,,106.073,,29.008,,77.065,
GALICIA,210.245,,27.226,,16.350,,,166.669,,9.553,,157.116,
MADRID,311.351,,61.971,,9.167,,,240.213,,18.542,,221.671,
MURCIA,64.604,,15.802,,2.100,,,46.702,,2.505,,44.197,
NAVARRA,32.065,,8.897,,947,,,22.221,,1.027,,21.194,
PAÍS VASCO,114.137,,22.037,,5.500,,,86.600,,5.580,,81.020,
LA RIOJA,14.443,,4.195,,490,,,9.758,,481,,9.277,
CEUTA,7.734,,1.094,,155,,,6.485,,274,,6.211,
MELILLA,7.880,,1.511,,291,,,6.078,,303,,5.775,
,,,,,,,,,,,,,
TOTAL NACIONAL,3.014.064,,560.346,,120.753,,,2.332.965,,319.679,,2.013.286,
,,,,,,,,,,,,,
(*) Considerados parados por la EPA,,,,,,,,,,,,,
