,,,,,,MAYO 2005,,,,,,, 
,,,,,,,,,,,,,
,,,,,,,,,,,,,
" DEMANDANTES DE EMPLEO POR SEXO, EDAD Y SECTORES ECONÓMICOS",,,,,,,,,,,,,
,,,,,,,,,,,,,
,TOTAL ,,,,CON DISPONIBILIDAD,,,DENOS,,,,,
COLECTIVOS,DEMANDANTES,,OCUPADOS,, LIMITADA,,,TOTAL,,OTROS NO OCUPADOS (*),,PARADOS REGISTRADOS,
,,,,,,,,,,,,,
TOTAL,3.081.297,,553.315,,99.815,,,2.428.167,,279.637,,2.148.530,
,,,,,,,,,,,,,
SEXO:,,,,,,,,,,,,,
    HOMBRES,1.205.507,,240.065,,55.276,,,910.166,,76.322,,833.844,
    MUJERES,1.875.790,,313.250,,44.539,,,1.518.001,,203.315,,1.314.686,
,,,,,,,,,,,,,
MENORES DE 25 AÑOS:,,,,,,,,,,,,,
    HOMBRES,178.287,,29.222,,4.192,,,144.873,,12.993,,131.880,
    MUJERES,217.492,,34.398,,4.633,,,178.461,,23.283,,155.178,
    TOTAL,395.779,,63.620,,8.825,,,323.334,,36.276,,287.058,
,,,,,,,,,,,,,
MAYORES DE 25 AÑOS:,,,,,,,,,,,,,
    HOMBRES,1.027.220,,210.843,,51.084,,,765.293,,63.329,,701.964,
    MUJERES,1.658.298,,278.852,,39.906,,,1.339.540,,180.032,,1.159.508,
    TOTAL,2.685.518,,489.695,,90.990,,,2.104.833,,243.361,,1.861.472,
,,,,,,,,,,,,,
SECTORES:,,,,,,,,,,,,,
    AGRICULTURA,297.129,,77.285,,6.757,,,213.087,,145.193,,67.894,
    INDUSTRIA,395.015,,70.726,,14.650,,,309.639,,9.945,,299.694,
    CONSTRUCCIÓN,304.007,,43.361,,12.013,,,248.633,,20.893,,227.740,
    SERVICIOS,1.787.762,,345.522,,56.672,,,1.385.568,,69.229,,1.316.339,
    SIN EMPLEO ANTERIOR ,297.384,,16.421,,9.723,,,271.240,,34.377,,236.863,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
 DEMANDANTES DE EMPLEO POR COMUNIDADES AUTÓNOMAS,,,,,,,,,,,,,
,,,,,,,,,,,,,
,TOTAL ,,,,CON DISPONIBILIDAD,,,DENOS,,,,,
COMUNIDADES AUTÓNOMAS,DEMANDANTES,,OCUPADOS,, LIMITADA,,,TOTAL,,OTROS NO OCUPADOS (*),,PARADOS REGISTRADOS,
,,,,,,,,,,,,,
ANDALUCÍA,868.515,,161.065,,27.214,,,680.236,,191.351,,488.885,
ARAGÓN,61.413,,14.837,,1.993,,,44.583,,2.708,,41.875,
ASTURIAS,77.531,,12.463,,3.264,,,61.804,,2.680,,59.124,
ILLES BALEARS,69.860,,24.621,,2.362,,,42.877,,646,,42.231,
CANARIAS,161.239,,15.650,,4.250,,,141.339,,4.803,,136.536,
CANTABRIA,31.352,,5.052,,1.256,,,25.044,,885,,24.159,
CASTILLA LA MANCHA,123.900,,19.118,,3.972,,,100.810,,3.069,,97.741,
CASTILLA LEÓN,155.966,,26.346,,4.231,,,125.389,,4.810,,120.579,
CATALUÑA,352.041,,65.204,,11.152,,,275.685,,5.112,,270.573,
COM. VALENCIANA,272.618,,51.277,,8.957,,,212.384,,7.857,,204.527,
EXTREMADURA,137.308,,23.170,,6.040,,,108.098,,29.282,,78.816,
GALICIA,217.216,,26.363,,8.085,,,182.768,,6.654,,176.114,
MADRID,305.021,,59.954,,8.583,,,236.484,,12.624,,223.860,
MURCIA,63.738,,13.829,,1.870,,,48.039,,1.660,,46.379,
NAVARRA,33.324,,9.529,,1.017,,,22.778,,560,,22.218,
PAÍS VASCO,116.861,,19.841,,4.631,,,92.389,,4.043,,88.346,
LA RIOJA,14.777,,3.094,,500,,,11.183,,373,,10.810,
CEUTA,9.430,,855,,158,,,8.417,,271,,8.146,
MELILLA,9.187,,1.047,,280,,,7.860,,249,,7.611,
,,,,,,,,,,,,,
TOTAL NACIONAL,3.081.297,,553.315,,99.815,,,2.428.167,,279.637,,2.148.530,
,,,,,,,,,,,,,
(*) Considerados parados por la EPA,,,,,,,,,,,,,
