,,,,,,MAYO 2005,,,,,,, 
,,,,,,,,,,,,,
,,,,,,,,,,,,,
" DEMANDANTES DE EMPLEO POR SEXO, EDAD Y SECTORES ECONÓMICOS",,,,,,,,,,,,,
,,,,,,,,,,,,,
,TOTAL ,,,,CON DISPONIBILIDAD,,,DENOS,,,,,
COLECTIVOS,DEMANDANTES,,OCUPADOS,, LIMITADA,,,TOTAL,,OTROS NO OCUPADOS (*),,PARADOS REGISTRADOS,
,,,,,,,,,,,,,
TOTAL,2.962.739,,589.372,,112.823,,,2.260.544,,305.560,,1.954.984,
,,,,,,,,,,,,,
SEXO:,,,,,,,,,,,,,
    HOMBRES,1.127.369,,242.347,,58.530,,,826.492,,86.839,,739.653,
    MUJERES,1.835.370,,347.025,,54.293,,,1.434.052,,218.721,,1.215.331,
,,,,,,,,,,,,,
MENORES DE 25 AÑOS:,,,,,,,,,,,,,
    HOMBRES,159.369,,31.096,,5.820,,,122.453,,16.087,,106.366,
    MUJERES,194.217,,36.211,,6.312,,,151.694,,30.940,,120.754,
    TOTAL,353.586,,67.307,,12.132,,,274.147,,47.027,,227.120,
,,,,,,,,,,,,,
MAYORES DE 25 AÑOS:,,,,,,,,,,,,,
    HOMBRES,968.000,,211.251,,52.710,,,704.039,,70.752,,633.287,
    MUJERES,1.641.153,,310.814,,47.981,,,1.282.358,,187.781,,1.094.577,
    TOTAL,2.609.153,,522.065,,100.691,,,1.986.397,,258.533,,1.727.864,
,,,,,,,,,,,,,
SECTORES:,,,,,,,,,,,,,
    AGRICULTURA,328.407,,96.584,,6.736,,,225.087,,162.626,,62.461,
    INDUSTRIA,373.533,,71.069,,16.818,,,285.646,,8.869,,276.777,
    CONSTRUCCIÓN,289.486,,43.130,,12.500,,,233.856,,20.601,,213.255,
    SERVICIOS,1.679.095,,358.540,,63.896,,,1.256.659,,70.605,,1.186.054,
    SIN EMPLEO ANTERIOR ,292.218,,20.049,,12.873,,,259.296,,42.859,,216.437,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
 DEMANDANTES DE EMPLEO POR COMUNIDADES AUTÓNOMAS,,,,,,,,,,,,,
,,,,,,,,,,,,,
,TOTAL ,,,,CON DISPONIBILIDAD,,,DENOS,,,,,
COMUNIDADES AUTÓNOMAS,DEMANDANTES,,OCUPADOS,, LIMITADA,,,TOTAL,,OTROS NO OCUPADOS (*),,PARADOS REGISTRADOS,
,,,,,,,,,,,,,
ANDALUCÍA,872.175,,171.556,,22.749,,,677.870,,212.486,,465.384,
ARAGÓN,54.527,,15.714,,1.770,,,37.043,,3.010,,34.033,
ASTURIAS,67.230,,12.426,,3.265,,,51.539,,3.090,,48.449,
ILLES BALEARS,37.614,,8.771,,1.323,,,27.520,,588,,26.932,
CANARIAS,165.483,,24.550,,5.914,,,135.019,,4.728,,130.291,
CANTABRIA,26.953,,5.563,,1.044,,,20.346,,968,,19.378,
CASTILLA LA MANCHA,112.783,,19.549,,4.091,,,89.143,,3.373,,85.770,
CASTILLA LEÓN,140.843,,28.686,,5.179,,,106.978,,5.675,,101.303,
CATALUÑA,337.473,,64.192,,9.961,,,263.320,,5.351,,257.969,
COM. VALENCIANA,282.449,,66.232,,19.973,,,196.244,,9.088,,187.156,
EXTREMADURA,130.198,,22.994,,4.200,,,103.004,,29.323,,73.681,
GALICIA,202.033,,30.473,,16.070,,,155.490,,7.422,,148.068,
MADRID,295.681,,62.565,,8.178,,,224.938,,12.506,,212.432,
MURCIA,64.777,,17.969,,1.847,,,44.961,,1.735,,43.226,
NAVARRA,32.380,,10.028,,925,,,21.427,,875,,20.552,
PAÍS VASCO,107.036,,21.417,,5.265,,,80.354,,4.043,,76.311,
LA RIOJA,15.176,,4.466,,441,,,10.269,,515,,9.754,
CEUTA,8.948,,1.093,,137,,,7.718,,322,,7.396,
MELILLA,8.980,,1.128,,491,,,7.361,,462,,6.899,
,,,,,,,,,,,,,
TOTAL NACIONAL,2.962.739,,589.372,,112.823,,,2.260.544,,305.560,,1.954.984,
,,,,,,,,,,,,,
(*) Considerados parados por la EPA,,,,,,,,,,,,,
